asin,name,brand,category,price,rating,review_count,image_url,product_url,availability,vendor
B0FW3XS6YG,Samsung Galaxy F70e 5G (128GB),Samsung,Smartphone,20499,0,0,https://m.media-amazon.com/images/I/71QRVW0H+iL._SL1500_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Corning-Gorilla/dp/B0FW3XS6YG,In Stock,Amazon
B0FT7T3GZF,Samsung Galaxy F07 (Green, 64GB),Samsung,Smartphone,8114,3.9,18,https://m.media-amazon.com/images/I/317CVL0zICL.jpg,https://www.amazon.in/SAMSUNG-Galaxy-F07-Green-RAM/dp/B0FT7T3GZF,In Stock,Amazon
B0CXMCX9MD,Samsung Galaxy A35 5G (Awesome Iceblue, 128GB),Samsung,Smartphone,21250,4.3,871,https://m.media-amazon.com/images/I/51VfGGh7quL.jpg,https://www.amazon.in/samsung-Awesome-Iceblue-Storage-Without/dp/B0CXMCX9MD,In Stock,Amazon
B0GGHQY1BG,Samsung Galaxy S24 5G (Amber Yellow, 256GB),Samsung,Smartphone,42994,4.2,62,https://m.media-amazon.com/images/I/51j734KaQvL._SL1024_.jpg,https://www.amazon.in/Samsung-Galaxy-Snapdragon-Amber-Yellow/dp/B0GGHQY1BG,In Stock,Amazon
B0FN7QTRPY,Samsung Galaxy M07 (Black, 64GB),Samsung,Smartphone,7499,4.2,665,https://m.media-amazon.com/images/I/610lbucItmL._SL1500_.jpg,https://www.amazon.in/Samsung-Storage-MediaTek-Charging-Upgrades/dp/B0FN7QTRPY,In Stock,Amazon
B0DJML1GKY,Samsung Galaxy A16 5G (Blue-Black, 128GB),Samsung,Smartphone,17899,4.1,918,https://m.media-amazon.com/images/I/71wWlLQTNoL._SL1500_.jpg,https://www.amazon.in/Samsung-Storage-Security-Updates-5000mAh/dp/B0DJML1GKY,In Stock,Amazon
B0FDBB2VRC,Samsung Galaxy M36 5G (Velvet Black, 128GB),Samsung,Smartphone,15999,4,4072,https://m.media-amazon.com/images/I/61FcXMhjr8L._SL1500_.jpg,https://www.amazon.in/Samsung-Storage-Enhanced-Unmatched-Nightography/dp/B0FDBB2VRC,In Stock,Amazon
B0DVC857PM,Samsung Galaxy S25+ 5G (Silver Shadow, 256GB),Samsung,Smartphone,74994,4.5,239,https://m.media-amazon.com/images/I/61l1LF0C0CL._SL1500_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Silver-Shadow/dp/B0DVC857PM,In Stock,Amazon
B0CWPF57J2,Samsung Galaxy A35 5G (Awesome Navy, 8GB RAM, 128GB),Samsung,Smartphone,20400,4.2,1200,https://m.media-amazon.com/images/I/71D7SohzxcL._SL1500_.jpg,https://www.amazon.in/Samsung-Awesome-Storage-Premium-Nightography/dp/B0CWPF57J2,In Stock,Amazon
B0DSKNKCYX,Samsung Galaxy S25 Ultra 5G (Titanium Silverblue, 256GB),Samsung,Smartphone,129999,4.3,941,https://m.media-amazon.com/images/I/71tz3adVWaL._SL1500_.jpg,https://www.amazon.in/Samsung-Smartphone-Silverblue-Snapdragon-ProVisual/dp/B0DSKNKCYX,In Stock,Amazon
B0FQG1LPVF,Apple iPhone 17 Pro Max (Cosmic Orange, 256GB),Apple,Smartphone,134900,4.4,292,https://m.media-amazon.com/images/I/71JGCn1z1TL._SL1500_.jpg,https://www.amazon.in/iPhone-Pro-256-Promotion-Breakthrough/dp/B0FQG1LPVF,In Stock,Amazon
B0FQG8MVMC,Apple iPhone 17 Pro Max (Deep Blue, 512GB),Apple,Smartphone,169900,4.4,210,https://m.media-amazon.com/images/I/71R8VsJ07nL._SL1500_.jpg,https://www.amazon.in/iPhone-Pro-Max-512-Promotion/dp/B0FQG8MVMC,In Stock,Amazon
B0FQFBDQJ1,Apple iPhone Air (Space Black, 256GB),Apple,Smartphone,99000,4.2,95,https://m.media-amazon.com/images/I/61knPJtYRpL._SL1500_.jpg,https://www.amazon.in/iPhone-Air-256-GB-Promotion/dp/B0FQFBDQJ1,In Stock,Amazon
B0BDK62PDX,Apple iPhone 14 (Blue, 128GB),Apple,Smartphone,50400,4.5,6000,https://m.media-amazon.com/images/I/61bK6PMOC3L._SL1500_.jpg,https://www.amazon.in/Apple-iPhone-14-128GB-Blue/dp/B0BDK62PDX,In Stock,Amazon
B0BDJ83Y4Z,Apple iPhone 14 Plus (Purple, 512GB),Apple,Smartphone,99900,4.5,2000,https://m.media-amazon.com/images/I/61YSNhAb00L._SL1500_.jpg,https://www.amazon.in/Apple-iPhone-Plus-512GB-Purple/dp/B0BDJ83Y4Z,In Stock,Amazon
B0FGY7C13L,Google Pixel 9a (Porcelain, 256GB),Google,Smartphone,38900,4.3,183,https://m.media-amazon.com/images/I/71T6fNlZTjL._SL1500_.jpg,https://www.amazon.in/Google-Pixel-9a-Porcelain-256/dp/B0FGY7C13L,In Stock,Amazon
B0FQBZQR9Q,Google Pixel 9a 5G (Obsidian, 256GB),Google,Smartphone,38990,4.0,11,https://m.media-amazon.com/images/I/51loAyfmYXL._SL1057_.jpg,https://www.amazon.in/Google-Pixel-9a-Obsidian-Storage/dp/B0FQBZQR9Q,In Stock,Amazon
B0FNP9KVFC,Google Pixel 10 (Frost, 256GB),Google,Smartphone,70770,4.4,50,https://m.media-amazon.com/images/I/315DonuUGZL.jpg,https://www.amazon.in/Google-Pixel-10-Frost-Storage/dp/B0FNP9KVFC,In Stock,Amazon
B0FLDVMSX6,Google Pixel 8a (Obsidian, 128GB),Google,Smartphone,33900,4.0,8,https://m.media-amazon.com/images/I/51IS4vxjlLL.jpg,https://www.amazon.in/Google-Pixel-8a-Obsidian-Storage/dp/B0FLDVMSX6,In Stock,Amazon
B0FHWM5XJR,Vivo V60 5G (Auspicious Gold, 256GB),Vivo,Smartphone,40999,4.3,814,https://m.media-amazon.com/images/I/61k1bvaUF+L._SL1500_.jpg,https://www.amazon.in/dp/B0FHWM5XJR,In Stock,Amazon
B0FP2PHST2,Vivo Y31 Pro 5G (Dreamy White, 8GB, 128GB),Vivo,Smartphone,19998,4.2,62,https://m.media-amazon.com/images/I/71BQgSj2kXL._SL1500_.jpg,https://www.amazon.in/dp/B0FP2PHST2,In Stock,Amazon
